League_Name,Team,Scored,1st half,2nd half,Avg. minute
Argentina - Liga Profesional,Racing Club,26,38.5%,61.5%,55
Argentina - Liga Profesional,Argentinos Jrs,24,54.2%,45.8%,41
Argentina - Liga Profesional,Boca Juniors,24,45.8%,54.2%,48
Argentina - Liga Profesional,Independiente,23,52.2%,47.8%,46
Argentina - Liga Profesional,Rosario Central,22,50.0%,50.0%,44
Argentina - Liga Profesional,Central Cordoba,21,28.6%,71.4%,63
Argentina - Liga Profesional,River Plate,21,38.1%,61.9%,57
Argentina - Liga Profesional,Barracas C.,20,45.0%,55.0%,54
Argentina - Liga Profesional,I. Rivadavia,20,35.0%,65.0%,58
Argentina - Liga Profesional,Huracan,19,42.1%,57.9%,50
Argentina - Liga Profesional,Estudiantes,18,38.9%,61.1%,54
Argentina - Liga Profesional,Aldosivi,18,38.9%,61.1%,54
Argentina - Liga Profesional,Tigre,18,50.0%,50.0%,44
Argentina - Liga Profesional,Defensa y J.,18,38.9%,61.1%,51
Argentina - Liga Profesional,A. Tucuman,17,58.8%,41.2%,46
Argentina - Liga Profesional,Instituto,16,31.3%,68.8%,60
Argentina - Liga Profesional,San Lorenzo,14,28.6%,71.4%,64
Argentina - Liga Profesional,Banfield,14,50.0%,50.0%,46
Argentina - Liga Profesional,D. Riestra,13,38.5%,61.5%,55
Argentina - Liga Profesional,Platense,13,46.2%,53.8%,46
Argentina - Liga Profesional,Lanus,13,38.5%,61.5%,55
Argentina - Liga Profesional,Belgrano,13,53.8%,46.2%,42
Argentina - Liga Profesional,Newells,12,75.0%,25.0%,40
Argentina - Liga Profesional,Union Santa Fe,11,45.5%,54.5%,60
Argentina - Liga Profesional,T. de Cordoba,11,54.5%,45.5%,41
Argentina - Liga Profesional,Sarmiento,11,36.4%,63.6%,58
Argentina - Liga Profesional,Gimnasia,9,55.6%,44.4%,50
Argentina - Liga Profesional,Godoy Cruz,8,75.0%,25.0%,43
Argentina - Liga Profesional,Velez Sarsfield,7,42.9%,57.1%,49
Argentina - Liga Profesional,SM San Juan,5,40.0%,60.0%,49
Argentina - Primera B,Liniers,24,29.2%,70.8%,61
Argentina - Primera B,Dock Sud,24,50.0%,50.0%,46
Argentina - Primera B,Real Pilar,24,41.7%,58.3%,53
Argentina - Primera B,V. San Carlos,20,50.0%,50.0%,46
Argentina - Primera B,A. Quilmes,18,38.9%,61.1%,56
Argentina - Primera B,D. Laferrere,17,41.2%,58.8%,53
Argentina - Primera B,Acassuso,17,52.9%,47.1%,44
Argentina - Primera B,Comunicaciones,16,50.0%,50.0%,45
Argentina - Primera B,Villa Dalmine,16,56.3%,43.8%,42
Argentina - Primera B,Excursionistas,16,56.3%,43.8%,46
Argentina - Primera B,Argentino Merlo,16,25.0%,75.0%,63
Argentina - Primera B,Midland,15,40.0%,60.0%,55
Argentina - Primera B,Deportivo Merlo,14,35.7%,64.3%,54
Argentina - Primera B,SM Burzaco,13,46.2%,53.8%,54
Argentina - Primera B,D. Armenio,12,41.7%,58.3%,49
Argentina - Primera B,Brown de A.,11,36.4%,63.6%,60
Argentina - Primera B,UAI Urquiza,11,27.3%,72.7%,56
Argentina - Primera B,Flandria,10,30.0%,70.0%,50
Argentina - Primera B,Sacachispas,10,40.0%,60.0%,54
Argentina - Primera B,S. Italiano,9,22.2%,77.8%,67
Argentina - Primera B,Fenix,8,50.0%,50.0%,44
Armenia - Premier League,Noah,90,43.3%,56.7%,50
Armenia - Premier League,Ararat-Armenia,66,47.0%,53.0%,53
Armenia - Premier League,Urartu,57,42.1%,57.9%,52
Armenia - Premier League,Pyunik,56,46.4%,53.6%,52
Armenia - Premier League,Van,54,55.6%,44.4%,47
Armenia - Premier League,BKMA,42,50.0%,50.0%,52
Armenia - Premier League,Ararat Yerevan,31,45.2%,54.8%,50
Armenia - Premier League,Shirak,27,29.6%,70.4%,57
Armenia - Premier League,West Armenia,22,31.8%,68.2%,57
Armenia - Premier League,Alashkert,20,45.0%,55.0%,50
Armenia - Premier League,Gandzasar,11,63.6%,36.4%,39
Australia - A-League,WS Wanderers,58,48.3%,51.7%,47
Australia - A-League,Western United,55,47.3%,52.7%,48
Australia - A-League,Sydney FC,53,34.0%,66.0%,57
Australia - A-League,Adelaide Utd,53,49.1%,50.9%,45
Australia - A-League,Macarthur FC,50,46.0%,54.0%,48
Australia - A-League,Auckland,49,44.9%,55.1%,56
Australia - A-League,Melbourne V.,44,50.0%,50.0%,47
Australia - A-League,Newcastle Jets,43,37.2%,62.8%,51
Australia - A-League,Melbourne City,41,48.8%,51.2%,47
Australia - A-League,Brisbane Roar,32,53.1%,46.9%,44
Australia - A-League,Central Coast,29,41.4%,58.6%,50
Australia - A-League,Wellington,27,48.1%,51.9%,48
Australia - A-League,Perth Glory,22,50.0%,50.0%,45
Austria - Bundesliga,Sturm Graz,51,43.1%,56.9%,54
Austria - Bundesliga,Wolfsberger AC,44,29.5%,70.5%,58
Austria - Bundesliga,Austria Wien,36,30.6%,69.4%,54
Austria - Bundesliga,Salzburg,33,51.5%,48.5%,48
Austria - Bundesliga,Rapid Wien,32,56.3%,43.8%,48
Austria - Bundesliga,LASK Linz,32,34.4%,65.6%,58
Austria - Bundesliga,BW Linz,30,50.0%,50.0%,47
Austria - Bundesliga,Grazer AK,27,37.0%,63.0%,50
Austria - Bundesliga,Hartberg,24,33.3%,66.7%,53
Austria - Bundesliga,A. Klagenfurt,22,45.5%,54.5%,49
Austria - Bundesliga,Tirol,20,50.0%,50.0%,50
Austria - Bundesliga,Altach,20,35.0%,65.0%,52
Austria - 2. Liga,Ried,58,41.4%,58.6%,53
Austria - 2. Liga,St. Polten,54,33.3%,66.7%,54
Austria - 2. Liga,Kapfenberger,48,54.2%,45.8%,44
Austria - 2. Liga,Bregenz,48,37.5%,62.5%,54
Austria - 2. Liga,First Vienna,48,47.9%,52.1%,48
Austria - 2. Liga,Admira Wacker,47,53.2%,46.8%,45
Austria - 2. Liga,Sturm Graz B,47,55.3%,44.7%,48
Austria - 2. Liga,Rapid Wien B,47,57.4%,42.6%,41
Austria - 2. Liga,Amstetten,46,41.3%,58.7%,49
Austria - 2. Liga,Liefering,42,52.4%,47.6%,49
Austria - 2. Liga,Lafnitz,38,36.8%,63.2%,57
Austria - 2. Liga,SV Horn,37,43.2%,56.8%,50
Austria - 2. Liga,Stripfing,36,36.1%,63.9%,51
Austria - 2. Liga,Voitsberg,30,53.3%,46.7%,46
Austria - 2. Liga,Floridsdorfer,29,44.8%,55.2%,47
Austria - 2. Liga,A. Lustenau,21,38.1%,61.9%,51
Belgium - First Division A,Club Brugge,65,47.7%,52.3%,49
Belgium - First Division A,KRC Genk,55,43.6%,56.4%,52
Belgium - First Division A,Westerlo,50,50.0%,50.0%,49
Belgium - First Division A,Anderlecht,50,40.0%,60.0%,57
Belgium - First Division A,Royale Union SG,49,46.9%,53.1%,48
Belgium - First Division A,KV Mechelen,45,35.6%,64.4%,56
Belgium - First Division A,Antwerp,42,47.6%,52.4%,48
Belgium - First Division A,Gent,41,46.3%,53.7%,50
Belgium - First Division A,Sint-Truiden,41,41.5%,58.5%,51
Belgium - First Division A,Charleroi,36,50.0%,50.0%,46
Belgium - First Division A,Dender,33,57.6%,42.4%,45
Belgium - First Division A,Cercle Brugge,29,51.7%,48.3%,50
Belgium - First Division A,OH Leuven,28,46.4%,53.6%,54
Belgium - First Division A,Kortrijk,28,46.4%,53.6%,49
Belgium - First Division A,Beerschot,26,34.6%,65.4%,52
Belgium - First Division A,Standard Liege,22,45.5%,54.5%,53
Brazil - Serie A,Flamengo,17,52.9%,47.1%,44
Brazil - Serie A,Mirassol,14,50.0%,50.0%,48
Brazil - Serie A,Cruzeiro,13,53.8%,46.2%,45
Brazil - Serie A,Corinthians,12,33.3%,66.7%,59
Brazil - Serie A,Fluminense,11,18.2%,81.8%,68
Brazil - Serie A,Bragantino,11,45.5%,54.5%,55
Brazil - Serie A,Ceara,11,63.6%,36.4%,39
Brazil - Serie A,Palmeiras,11,36.4%,63.6%,57
Brazil - Serie A,Internacional,11,63.6%,36.4%,47
Brazil - Serie A,Botafogo,10,50.0%,50.0%,50
Brazil - Serie A,Atletico MG,10,10.0%,90.0%,70
Brazil - Serie A,Fortaleza,10,40.0%,60.0%,48
Brazil - Serie A,Vitoria,10,10.0%,90.0%,66
Brazil - Serie A,Vasco da Gama,10,40.0%,60.0%,55
Brazil - Serie A,Bahia,9,55.6%,44.4%,56
Brazil - Serie A,Juventude,8,62.5%,37.5%,38
Brazil - Serie A,Sao Paulo,8,62.5%,37.5%,41
Brazil - Serie A,Gremio,8,62.5%,37.5%,52
Brazil - Serie A,Santos,7,57.1%,42.9%,48
Brazil - Serie A,Sport Recife,4,75.0%,25.0%,40
Brazil - Serie B,Remo,11,54.5%,45.5%,50
Brazil - Serie B,Goias,11,54.5%,45.5%,51
Brazil - Serie B,Athletico PR,11,45.5%,54.5%,51
Brazil - Serie B,Cuiaba,11,27.3%,72.7%,54
Brazil - Serie B,Avai,11,63.6%,36.4%,46
Brazil - Serie B,Operario PR,10,40.0%,60.0%,44
Brazil - Serie B,Criciuma,9,66.7%,33.3%,41
Brazil - Serie B,Vila Nova,9,66.7%,33.3%,42
Brazil - Serie B,Novorizontino,9,33.3%,66.7%,43
Brazil - Serie B,Atletico GO,9,44.4%,55.6%,60
Brazil - Serie B,Chapecoense,9,44.4%,55.6%,47
Brazil - Serie B,Athletic Club,8,62.5%,37.5%,40
Brazil - Serie B,CRB,8,50.0%,50.0%,48
Brazil - Serie B,Ferroviaria,8,37.5%,62.5%,58
Brazil - Serie B,Botafogo SP,7,57.1%,42.9%,38
Brazil - Serie B,America MG,7,28.6%,71.4%,55
Brazil - Serie B,Coritiba,7,57.1%,42.9%,43
Brazil - Serie B,Amazonas,4,75.0%,25.0%,38
Brazil - Serie B,Paysandu,4,50.0%,50.0%,54
Brazil - Serie B,Volta Redonda,3,0.0%,100.0%,90
Brazil - Serie C,Maringa,11,54.5%,45.5%,52
Brazil - Serie C,Londrina,9,33.3%,66.7%,52
Brazil - Serie C,Figueirense,9,44.4%,55.6%,56
Brazil - Serie C,Caxias,9,44.4%,55.6%,53
Brazil - Serie C,ABC,8,37.5%,62.5%,63
Brazil - Serie C,Ponte Preta,8,37.5%,62.5%,58
Brazil - Serie C,Nautico,8,75.0%,25.0%,41
Brazil - Serie C,CSA,7,42.9%,57.1%,58
Brazil - Serie C,Ituano,7,42.9%,57.1%,59
Brazil - Serie C,Botafogo PB,7,28.6%,71.4%,60
Brazil - Serie C,Tombense,7,57.1%,42.9%,38
Brazil - Serie C,Brusque,6,33.3%,66.7%,54
Brazil - Serie C,Itabaiana,5,40.0%,60.0%,51
Brazil - Serie C,Confianca,5,60.0%,40.0%,35
Brazil - Serie C,Ypiranga,5,60.0%,40.0%,43
Brazil - Serie C,Anapolis,4,50.0%,50.0%,48
Brazil - Serie C,Guarani,4,50.0%,50.0%,44
Brazil - Serie C,Retro,4,25.0%,75.0%,53
Brazil - Serie C,Sao Bernardo,4,50.0%,50.0%,50
Brazil - Serie C,Floresta,4,50.0%,50.0%,43
Bulgaria - Parva Liga,Ludogorets,68,45.6%,54.4%,51
Bulgaria - Parva Liga,Levski Sofia,64,50.0%,50.0%,49
Bulgaria - Parva Liga,CSKA Sofia,54,42.6%,57.4%,51
Bulgaria - Parva Liga,Arda,52,51.9%,48.1%,48
Bulgaria - Parva Liga,Slavia Sofia,49,53.1%,46.9%,43
Bulgaria - Parva Liga,Spartak Varna,44,47.7%,52.3%,49
Bulgaria - Parva Liga,CSKA 1948 Sofia,44,50.0%,50.0%,49
Bulgaria - Parva Liga,Cherno More,44,40.9%,59.1%,58
Bulgaria - Parva Liga,Botev Plovdiv,43,37.2%,62.8%,51
Bulgaria - Parva Liga,Septemvri Sofia,40,45.0%,55.0%,53
Bulgaria - Parva Liga,Lokomotiv Sofia,40,57.5%,42.5%,42
Bulgaria - Parva Liga,Beroe,38,39.5%,60.5%,51
Bulgaria - Parva Liga,Lok. Plovdiv,37,40.5%,59.5%,51
Bulgaria - Parva Liga,Botev Vratsa,32,43.8%,56.3%,48
Bulgaria - Parva Liga,Hebar,28,50.0%,50.0%,50
Bulgaria - Parva Liga,L. Krumovgrad,19,57.9%,42.1%,41
Canada - Premier League,A. Ottawa,22,31.8%,68.2%,56
Canada - Premier League,Cavalry,11,27.3%,72.7%,66
Canada - Premier League,York Utd,10,70.0%,30.0%,42
Canada - Premier League,HFX Wanderers,10,20.0%,80.0%,61
Canada - Premier League,Forge,8,50.0%,50.0%,46
Canada - Premier League,Pacific,7,57.1%,42.9%,51
Canada - Premier League,Vancouver FC,6,66.7%,33.3%,44
Canada - Premier League,Valour,6,33.3%,66.7%,44
China - Super League,S. Shenhua,30,40.0%,60.0%,55
China - Super League,Beijing Guoan,28,53.6%,46.4%,45
China - Super League,Shandong T.,28,42.9%,57.1%,52
China - Super League,Shanghai Port,26,53.8%,46.2%,46
China - Super League,Zhejiang,24,62.5%,37.5%,44
China - Super League,Chengdu,23,65.2%,34.8%,37
China - Super League,Meizhou Hakka,20,30.0%,70.0%,57
China - Super League,Qingdao West C.,20,40.0%,60.0%,52
China - Super League,Tianjin T.,20,45.0%,55.0%,54
China - Super League,Yunnan Yukun,19,26.3%,73.7%,61
China - Super League,Henan SL,17,35.3%,64.7%,55
China - Super League,Wuhan Three T.,15,40.0%,60.0%,59
China - Super League,Dalian Yingbo,13,61.5%,38.5%,40
China - Super League,Qingdao Hainiu,13,46.2%,53.8%,46
China - Super League,Sichuan Jiuniu,12,25.0%,75.0%,57
China - Super League,Changchun Yatai,11,54.5%,45.5%,43
China - League One,Liaoning Tieren,25,52.0%,48.0%,48
