League,Team,GP,Pts,PPG_Last_8,PPG_All
Argentina - Liga Profesional,Rosario Central,16,35,2.25,2.19
Argentina - Liga Profesional,Argentinos Jrs,16,33,1.88,2.06
Argentina - Liga Profesional,Boca Juniors,16,33,2.0,2.06
Argentina - Liga Profesional,River Plate,16,31,2.0,1.94
Argentina - Liga Profesional,Independiente,16,29,1.5,1.81
Argentina - Liga Profesional,Racing Club,16,28,2.38,1.75
Argentina - Liga Profesional,Huracan,16,27,1.5,1.69
Argentina - Liga Profesional,Tigre,16,27,1.13,1.69
Argentina - Liga Profesional,San Lorenzo,16,27,1.25,1.69
Argentina - Liga Profesional,I. Rivadavia,16,27,2.13,1.69
Argentina - Liga Profesional,Barracas C.,16,26,1.75,1.63
Argentina - Liga Profesional,D. Riestra,16,24,1.63,1.5
Argentina - Liga Profesional,Platense,16,23,1.75,1.44
Argentina - Liga Profesional,Estudiantes,16,21,0.38,1.31
Argentina - Liga Profesional,Lanus,16,20,1.38,1.25
Argentina - Liga Profesional,Newells,16,19,1.63,1.19
Argentina - Liga Profesional,Defensa y J.,16,19,0.63,1.19
Argentina - Liga Profesional,Central Cordoba,16,18,0.5,1.13
Argentina - Liga Profesional,Instituto,16,18,1.38,1.13
Argentina - Liga Profesional,Belgrano,16,17,1.13,1.06
Argentina - Liga Profesional,A. Tucuman,16,16,1.13,1.0
Argentina - Liga Profesional,Gimnasia,16,16,0.75,1.0
Argentina - Liga Profesional,Sarmiento,16,15,1.13,0.94
Argentina - Liga Profesional,Aldosivi,16,15,1.63,0.94
Argentina - Liga Profesional,Banfield,16,14,0.75,0.88
Argentina - Liga Profesional,Union Santa Fe,16,14,1.13,0.88
Argentina - Liga Profesional,Godoy Cruz,16,14,0.88,1.06
Argentina - Liga Profesional,Velez Sarsfield,16,14,1.5,0.88
Argentina - Liga Profesional,T. de Cordoba,16,13,0.88,0.81
Argentina - Liga Profesional,SM San Juan,16,9,0.38,0.56
Argentina - Primera B,Midland,15,27,1.63,1.8
Argentina - Primera B,Real Pilar,15,26,1.5,1.73
Argentina - Primera B,Liniers,15,24,1.38,1.6
Argentina - Primera B,Dock Sud,16,24,1.63,1.5
Argentina - Primera B,A. Quilmes,16,23,1.38,1.44
Argentina - Primera B,Acassuso,15,23,1.5,1.53
Argentina - Primera B,Argentino Merlo,16,23,1.75,1.44
Argentina - Primera B,V. San Carlos,15,23,1.25,1.53
Argentina - Primera B,Deportivo Merlo,16,23,1.38,1.44
Argentina - Primera B,Excursionistas,14,20,1.75,1.43
Argentina - Primera B,Villa Dalmine,15,20,1.63,1.33
Argentina - Primera B,Brown de A.,15,20,1.13,1.33
Argentina - Primera B,SM Burzaco,15,20,1.0,1.33
Argentina - Primera B,Comunicaciones,14,19,1.25,1.36
Argentina - Primera B,D. Armenio,15,18,1.13,1.2
Argentina - Primera B,D. Laferrere,15,17,1.38,1.13
Argentina - Primera B,Flandria,15,17,1.13,1.13
Argentina - Primera B,S. Italiano,15,14,1.25,0.93
Argentina - Primera B,UAI Urquiza,14,14,0.75,1.0
Argentina - Primera B,Sacachispas,15,11,0.88,0.73
Argentina - Primera B,Fenix,15,8,0.38,0.53
Armenia - Premier League,Noah,28,72,2.5,2.57
Armenia - Premier League,Ararat-Armenia,28,63,3.0,2.25
Armenia - Premier League,Urartu,28,59,1.88,2.11
Armenia - Premier League,Pyunik,29,53,1.25,1.83
Armenia - Premier League,Van,28,46,1.5,1.64
Armenia - Premier League,BKMA,28,32,1.25,1.14
Armenia - Premier League,Shirak,29,32,0.88,1.1
Armenia - Premier League,Ararat Yerevan,27,29,1.25,1.07
Armenia - Premier League,Alashkert,28,23,1.13,0.82
Armenia - Premier League,West Armenia,28,23,0.38,0.82
Armenia - Premier League,Gandzasar,27,6,0.5,0.22
Australia - A-League,Auckland,26,53,1.63,2.04
Australia - A-League,Melbourne City,26,48,2.13,1.85
Australia - A-League,Western United,26,47,2.25,1.81
Australia - A-League,WS Wanderers,26,46,2.25,1.77
Australia - A-League,Melbourne V.,26,43,1.75,1.65
Australia - A-League,Adelaide Utd,26,38,0.75,1.46
Australia - A-League,Sydney FC,26,37,1.38,1.42
Australia - A-League,Macarthur FC,26,33,1.0,1.27
Australia - A-League,Newcastle Jets,26,30,1.0,1.15
Australia - A-League,Central Coast,26,26,0.63,1.0
Australia - A-League,Wellington,26,24,0.63,0.92
Australia - A-League,Brisbane Roar,26,21,1.63,0.81
Australia - A-League,Perth Glory,26,17,0.88,0.65
Austria - Bundesliga,Sturm Graz,22,46,1.75,2.09
Austria - Bundesliga,Austria Wien,22,46,2.38,2.09
Austria - Bundesliga,Salzburg,22,38,2.0,1.73
Austria - Bundesliga,Wolfsberger AC,22,36,2.0,1.64
Austria - Bundesliga,Rapid Wien,22,34,0.88,1.55
Austria - Bundesliga,BW Linz,22,33,2.0,1.5
Austria - Bundesliga,LASK Linz,22,31,1.38,1.41
Austria - Bundesliga,Hartberg,22,26,1.13,1.18
Austria - Bundesliga,A. Klagenfurt,22,21,0.75,0.95
Austria - Bundesliga,Tirol,22,19,0.75,0.86
Austria - Bundesliga,Altach,22,16,0.88,0.73
Austria - Bundesliga,Grazer AK,22,16,0.5,0.73
Austria - 2. Liga,Ried,29,64,2.13,2.21
Austria - 2. Liga,Admira Wacker,29,59,1.25,2.03
Austria - 2. Liga,St. Polten,29,52,2.25,1.79
Austria - 2. Liga,Kapfenberger,29,51,2.25,1.76
Austria - 2. Liga,First Vienna,29,48,1.25,1.66
Austria - 2. Liga,Liefering,29,43,1.88,1.48
Austria - 2. Liga,Sturm Graz B,29,41,1.25,1.41
Austria - 2. Liga,Amstetten,29,39,1.38,1.34
Austria - 2. Liga,Bregenz,29,38,0.0,1.31
Austria - 2. Liga,Rapid Wien B,29,37,0.75,1.28
Austria - 2. Liga,Floridsdorfer,29,36,1.88,1.24
Austria - 2. Liga,A. Lustenau,29,34,1.38,1.17
Austria - 2. Liga,Voitsberg,29,32,1.13,1.1
Austria - 2. Liga,Stripfing,29,31,1.75,1.07
Austria - 2. Liga,SV Horn,29,27,1.75,0.93
Austria - 2. Liga,Lafnitz,29,15,0.5,0.52
Belgium - First Division A,KRC Genk,30,68,2.5,2.27
Belgium - First Division A,Club Brugge,30,59,1.5,1.97
Belgium - First Division A,Royale Union SG,30,55,2.25,1.83
Belgium - First Division A,Anderlecht,30,51,1.88,1.7
Belgium - First Division A,Antwerp,30,46,1.25,1.53
Belgium - First Division A,Gent,30,45,1.63,1.5
Belgium - First Division A,Standard Liege,30,39,1.0,1.3
Belgium - First Division A,KV Mechelen,30,38,1.38,1.27
Belgium - First Division A,OH Leuven,30,37,1.5,1.23
Belgium - First Division A,Charleroi,30,37,1.13,1.23
Belgium - First Division A,Westerlo,30,37,1.75,1.23
Belgium - First Division A,Cercle Brugge,30,32,0.63,1.07
Belgium - First Division A,Dender,30,32,0.5,1.07
Belgium - First Division A,Sint-Truiden,30,31,1.13,1.03
Belgium - First Division A,Kortrijk,30,26,1.0,0.87
Belgium - First Division A,Beerschot,30,18,0.63,0.6
Belgium - First Division B,Zulte-Waregem,28,59,1.63,2.11
Belgium - First Division B,La Louviere,28,59,2.5,2.11
Belgium - First Division B,RWDM,28,57,2.0,2.04
Belgium - First Division B,Beveren,28,51,2.38,1.82
Belgium - First Division B,Patro Eisden,28,49,1.5,1.75
Belgium - First Division B,Club Brugge B,28,47,1.63,1.68
Belgium - First Division B,Lokeren-Temse,28,41,2.63,1.46
Belgium - First Division B,Lierse K.,28,40,1.25,1.43
Belgium - First Division B,RFC Liege,28,34,1.38,1.21
Belgium - First Division B,Eupen,28,30,1.38,1.07
Belgium - First Division B,Lommel SK,28,29,1.25,1.04
Belgium - First Division B,Francs Borains,28,28,0.75,1.0
Belgium - First Division B,Anderlecht B,28,23,0.25,0.82
Belgium - First Division B,Seraing,28,19,0.38,0.68
Belgium - First Division B,KRC Genk B,28,14,0.13,0.5
Belgium - First Division B,Deinze,0,0,0.0,0.0
Brazil - Serie A,Palmeiras,9,22,2.63,2.44
Brazil - Serie A,Flamengo,9,18,2.13,2.0
Brazil - Serie A,Cruzeiro,9,17,1.75,1.89
Brazil - Serie A,Bragantino,9,17,2.0,1.89
Brazil - Serie A,Ceara,9,15,1.75,1.67
Brazil - Serie A,Bahia,9,15,1.75,1.67
Brazil - Serie A,Fluminense,9,14,1.75,1.56
Brazil - Serie A,Atletico MG,9,13,1.63,1.44
Brazil - Serie A,Corinthians,9,13,1.5,1.44
Brazil - Serie A,Botafogo,9,12,1.38,1.33
Brazil - Serie A,Sao Paulo,9,12,1.38,1.33
Brazil - Serie A,Mirassol,9,11,1.38,1.22
Brazil - Serie A,Fortaleza,9,10,0.88,1.11
Brazil - Serie A,Vasco da Gama,9,10,0.88,1.11
Brazil - Serie A,Internacional,9,10,1.13,1.11
Brazil - Serie A,Vitoria,9,9,1.13,1.0
Brazil - Serie A,Gremio,9,9,0.75,1.0
Brazil - Serie A,Juventude,9,8,0.63,0.89
Brazil - Serie A,Santos,9,5,0.63,0.56
Brazil - Serie A,Sport Recife,9,2,0.13,0.22
Brazil - Serie B,Goias,8,17,2.13,2.13
Brazil - Serie B,Remo,8,16,2.0,2.0
Brazil - Serie B,Vila Nova,8,16,2.0,2.0
Brazil - Serie B,CRB,8,15,1.88,1.88
Brazil - Serie B,Avai,8,13,1.63,1.63
Brazil - Serie B,Novorizontino,8,13,1.63,1.63
Brazil - Serie B,Operario PR,8,13,1.63,1.63
Brazil - Serie B,Chapecoense,8,13,1.63,1.63
Brazil - Serie B,Coritiba,8,13,1.63,1.63
Brazil - Serie B,Cuiaba,8,12,1.5,1.5
Brazil - Serie B,Ferroviaria,8,11,1.38,1.38
Brazil - Serie B,Atletico GO,8,11,1.38,1.38
Brazil - Serie B,Athletico PR,8,10,1.25,1.25
Brazil - Serie B,America MG,8,10,1.25,1.25
Brazil - Serie B,Criciuma,8,6,0.75,0.75
Brazil - Serie B,Volta Redonda,8,6,0.75,0.75
Brazil - Serie B,Athletic Club,8,6,0.75,0.75
Brazil - Serie B,Botafogo SP,8,5,0.63,0.63
Brazil - Serie B,Paysandu,8,4,0.5,0.5
Brazil - Serie B,Amazonas,8,4,0.5,0.5
Brazil - Serie C,Ponte Preta,6,13,2.17,2.17
Brazil - Serie C,Caxias,6,12,2.0,2.0
Brazil - Serie C,Londrina,6,12,2.0,2.0
Brazil - Serie C,Brusque,6,11,1.83,1.83
Brazil - Serie C,Maringa,6,11,1.83,1.83
