4+,3,2,1,0,Avg.,Team_Home,Total_Jogos,% Com Gols,% Sem Gols,Classificação Ofensiva
1.0,0.0,0.0,4.0,3.0,1.00,A. Tucuman,8.0,62.5,37.5,Média consistência ofensiva
0.0,0.0,1.0,2.0,5.0,0.50,Aldosivi,8.0,37.5,62.5,Baixa consistência ofensiva
1.0,0.0,2.0,2.0,4.0,1.11,Argentinos Jrs,9.0,55.56,44.44,Média consistência ofensiva
0.0,0.0,2.0,3.0,3.0,0.88,Banfield,8.0,62.5,37.5,Média consistência ofensiva
0.0,0.0,0.0,6.0,2.0,0.75,Barracas C.,8.0,75.0,25.0,Alta consistência ofensiva
0.0,0.0,0.0,5.0,3.0,0.63,Belgrano,8.0,62.5,37.5,Média consistência ofensiva
0.0,0.0,1.0,3.0,4.0,0.63,Boca Juniors,8.0,50.0,50.0,Média consistência ofensiva
0.0,0.0,1.0,3.0,5.0,0.56,Central Cordoba,9.0,44.44,55.56,Baixa consistência ofensiva
0.0,0.0,0.0,1.0,7.0,0.13,D. Riestra,8.0,12.5,87.5,Baixa consistência ofensiva
0.0,0.0,0.0,1.0,6.0,0.14,Defensa y J.,7.0,14.29,85.71,Baixa consistência ofensiva
0.0,1.0,0.0,2.0,4.0,0.71,Estudiantes,7.0,42.86,57.14,Baixa consistência ofensiva
0.0,0.0,0.0,3.0,5.0,0.38,Gimnasia,8.0,37.5,62.5,Baixa consistência ofensiva
0.0,0.0,0.0,2.0,6.0,0.25,Godoy Cruz,8.0,25.0,75.0,Baixa consistência ofensiva
0.0,0.0,0.0,3.0,5.0,0.38,Huracan,8.0,37.5,62.5,Baixa consistência ofensiva
0.0,0.0,0.0,3.0,5.0,0.38,I. Rivadavia,8.0,37.5,62.5,Baixa consistência ofensiva
1.0,0.0,1.0,2.0,4.0,1.00,Independiente,8.0,50.0,50.0,Média consistência ofensiva
0.0,0.0,0.0,3.0,4.0,0.43,Instituto,7.0,42.86,57.14,Baixa consistência ofensiva
0.0,0.0,1.0,2.0,5.0,0.50,Lanus,8.0,37.5,62.5,Baixa consistência ofensiva
0.0,0.0,1.0,2.0,5.0,0.50,Newells,8.0,37.5,62.5,Baixa consistência ofensiva
0.0,0.0,0.0,2.0,6.0,0.25,Platense,8.0,25.0,75.0,Baixa consistência ofensiva
0.0,0.0,0.0,4.0,3.0,0.57,Racing Club,7.0,57.14,42.86,Média consistência ofensiva
0.0,1.0,1.0,1.0,6.0,0.67,River Plate,9.0,33.33,66.67,Baixa consistência ofensiva
0.0,0.0,1.0,5.0,1.0,1.00,Rosario Central,7.0,85.71,14.29,Alta consistência ofensiva
0.0,0.0,0.0,3.0,5.0,0.38,San Lorenzo,8.0,37.5,62.5,Baixa consistência ofensiva
0.0,0.0,0.0,2.0,6.0,0.25,Sarmiento,8.0,25.0,75.0,Baixa consistência ofensiva
0.0,0.0,0.0,1.0,8.0,0.11,SM San Juan,9.0,11.11,88.89,Baixa consistência ofensiva
0.0,0.0,0.0,4.0,4.0,0.50,T. de Cordoba,8.0,50.0,50.0,Média consistência ofensiva
0.0,0.0,1.0,3.0,4.0,0.63,Tigre,8.0,50.0,50.0,Média consistência ofensiva
0.0,0.0,0.0,4.0,5.0,0.44,Union Santa Fe,9.0,44.44,55.56,Baixa consistência ofensiva
0.0,0.0,0.0,0.0,8.0,0.00,Velez Sarsfield,8.0,0.0,100.0,Baixa consistência ofensiva
0.0,0.0,0.0,0.0,0.0,,,0.0,,,Baixa consistência ofensiva
0.0,0.0,0.0,0.0,0.0,0.52,League avg.,0.0,,,Baixa consistência ofensiva
0.0,0.0,1.0,2.0,5.0,0.50,A. Quilmes,8.0,37.5,62.5,Baixa consistência ofensiva
0.0,0.0,1.0,2.0,4.0,0.57,Acassuso,7.0,42.86,57.14,Baixa consistência ofensiva
0.0,0.0,0.0,2.0,6.0,0.25,Argentino Merlo,8.0,25.0,75.0,Baixa consistência ofensiva
0.0,0.0,0.0,1.0,6.0,0.14,Brown de A.,7.0,14.29,85.71,Baixa consistência ofensiva
0.0,0.0,1.0,2.0,5.0,0.50,Comunicaciones,8.0,37.5,62.5,Baixa consistência ofensiva
0.0,0.0,1.0,2.0,5.0,0.50,D. Armenio,8.0,37.5,62.5,Baixa consistência ofensiva
0.0,1.0,1.0,1.0,5.0,0.75,D. Laferrere,8.0,37.5,62.5,Baixa consistência ofensiva
0.0,0.0,1.0,0.0,7.0,0.25,Deportivo Merlo,8.0,12.5,87.5,Baixa consistência ofensiva
